GENE	HSQ	MODEL	MODELCV.R2	POP	VG
TTF2	0.210017	lasso	0.13	aa	0.069263
MAN1A2	0.209077	enet	0.099	aa	0.061739
WDR3	0.195878	lasso	0.077	aa	0.023958
WARS2	0.105095	top1	0.017	aa	0.031258
FMO5	0.097594	enet	0.063	aa	0.05275
CHD1L	0.201496	susie	0.11	aa	0.045679
ACP6	0.215129	susie	0.21	aa	0.143706
ANP32E	0.09026	top1	0.031	aa	0.008401
RPRD2	0.072317	enet	0.061	aa	0.005323
TARS2	0.3321	top1	0.31	aa	0.074605
MCL1	0.020959	blup	0.0016	aa	0.003006
HORMAD1	0.06606	top1	0.076	aa	0.030309
CTSS	0.130949	susie	0.15	aa	0.040375
CTSK	0.164675	blup	0.16	aa	0.102835
ARNT	0.06945	susie	0.06	aa	0.019371
CDC42SE1	0.24696	enet	0.1	aa	0.057521
GABPB2	0.171597	enet	0.055	aa	0.058383
LYSMD1	0.111025	blup	0.026	aa	0.093144
PIP5K1A	0.21067	top1	0.21	aa	0.035484
POGZ	0.136123	blup	0.042	aa	0.022813
MRPL9	0.095725	enet	0.094	aa	0.029321
TDRKH	0.074183	blup	0.038	aa	0.034261
THEM4	0.160149	enet	0.072	aa	0.085267
S100A10	0.260961	blup	0.12	aa	0.132022
LCE2D	0.022269	susie	0.0067	aa	0.011869
S100A13	0.306294	lasso	0.3	aa	0.247271
SNAPIN	0.379639	enet	0.28	aa	0.192604
NPR1	0.051988	top1	0.054	aa	0.012322
SLC27A3	0.0883	susie	0.069	aa	0.027953
SLC39A1	0.058605	top1	0.035	aa	0.013141
JTB	0.228444	susie	0.18	aa	0.048643
UBAP2L	0.091734	enet	0.021	aa	0.005972
HAX1	0.136727	lasso	0.077	aa	0.028382
ATP8B2	0.131203	enet	0.045	aa	0.043586
IL6R	0.174238	susie	0.11	aa	0.086886
ADAR	0.065446	susie	0.016	aa	0.014313
KCNN3	0.222607	top1	0.057	aa	0.076553
