meanchi	medianchi	maxchi	minchi	CHR	PHEN	POP	P0	P1
1.4401862166612325	0.613089	24.433248999999996	0	1	RBC	EA	84927788	87122166
1.0116861225554108	0.43428100000000003	15.555136	1e-6	1	RBC	AA	84927788	87122166
1.2510778865614673	0.5319798688706251	22.080600999999998	0	1	RBC	meta	84927788	87122166
1.790596495026779	0.49773049999999996	24.730729	0	2	RBC	EA	10101670	11619583
1.095633829598506	0.5285289999999999	13.5424	0	2	RBC	AA	10101670	11619583
1.495294219715453	0.5000000000000001	28.08920215028812	0	2	RBC	meta	10101670	11619583
2.1628070224012084	0.700569	29.170800999999997	0	2	RBC	EA	67755059	69116735
1.242917638378536	0.506944	19.838116	0	2	RBC	AA	67755059	69116735
1.7991636389028876	0.6978054429429429	27.781169920494108	0	2	RBC	meta	67755059	69116735
1.071489627983154	0.42120100000000005	17.505856	4e-6	3	RBC	EA	18844666	20047208
1.0119641457222104	0.46922500000000006	10.458756	0	3	RBC	AA	18844666	20047208
1.0962289150985312	0.5026581362246796	13.005345511716703	0	3	RBC	meta	18844666	20047208
1.674588068355586	0.717409	25.8064	0	5	RBC	EA	8494854	11171605
1.0093012843158118	0.4802489999999999	17.707264000000002	0	5	RBC	AA	8494854	11171605
1.4030396813851247	0.602176	24.595345345345347	0	5	RBC	meta	8494854	11171605
2.33068963054442	0.6872409999999999	28.708163999999996	0	6	RBC	EA	147161513	149933141
1.011358447705878	0.44756100000000004	13.935289000000001	0	6	RBC	AA	147161513	149933141
1.6710114778981013	0.5396584876835878	28.792497520265414	0	6	RBC	meta	147161513	149933141
1.147320506706908	0.6060625000000001	12.595400999999999	4e-6	7	RBC	EA	2891307	3614282
0.944096837592397	0.45968400000000004	13.1769	0	7	RBC	AA	2891307	3614282
1.14939333429457	0.574564	14.675742574257425	0	7	RBC	meta	2891307	3614282
1.9952391934434435	0.8464	25.472208999999996	1e-6	8	RBC	EA	140092934	141600271
0.9170667678733618	0.46785600000000005	10.323369000000001	0	8	RBC	AA	140092934	141600271
1.4502089050316977	0.599076	22.34716049382716	0	8	RBC	meta	140092934	141600271
2.2838455245943856	0.9044009999999999	17.892900000000004	0	13	RBC	EA	27053059	28317350
1.0289928197573657	0.418609	13.068225000000002	0	13	RBC	AA	27053059	28317350
1.744769208493837	0.6058581432974717	26.3241376052529	0	13	RBC	meta	27053059	28317350
2.372442857803154	0.913936	19.368800999999998	0	14	RBC	EA	60317812	63296633
1.093081480470323	0.521284	12.702096000000001	0	14	RBC	AA	60317812	63296633
1.8528206349165077	0.734449	24.376309385542836	0	14	RBC	meta	60317812	63296633
1.8085399867930556	0.6561000000000001	27.040000000000003	0	17	RBC	EA	78603548	81358182
0.9946017244188357	0.44622400000000007	19.439280999999998	0	17	RBC	AA	78603548	81358182
1.5240551143766699	0.5898466405228757	26.06727776447652	0	17	RBC	meta	78603548	81358182
2.6312922028854824	1.2354385	23.097636	0	19	RBC	EA	11415921	12389673
1.5217960936995154	0.8611840000000001	18.344089000000004	0	19	RBC	AA	11415921	12389673
1.9044698730487157	1.0050690815384837	24.5	0	19	RBC	meta	11415921	12389673
3.3421481634241244	1.6615209999999998	20.043529000000003	0	19	RBC	EA	35450375	37070917
0.8378696516445288	0.379456	11.417641	1e-6	19	RBC	AA	35450375	37070917
2.307264526287346	0.8217327359168176	21.696696696696698	0	19	RBC	meta	35450375	37070917
1.6176242051995293	0.6416010000000001	23.4256	0	1	RDW	EA	17170754	20109515
0.9112764298770677	0.42250000000000004	17.447328999999996	0	1	RDW	AA	17170754	20109515
1.3060768383729922	0.517094017094017	24.459647147147148	0	1	RDW	meta	17170754	20109515
1.6425883258737395	0.8835999999999999	18.49	0	1	RDW	EA	226339236	229233485
1.0511044612248037	0.4760999999999999	12.552849000000002	0	1	RDW	AA	226339236	229233485
1.3885231600686423	0.6561000000000001	21.16775921873791	0	1	RDW	meta	226339236	229233485
1.6347554552506824	0.47472099999999995	26.306640999999996	0	4	RDW	EA	83085372	86009110
1.0273563097939684	0.47748099999999993	11.336689	0	4	RDW	AA	83085372	86009110
1.3667511770045537	0.49052154195011327	28.417151212504695	0	4	RDW	meta	83085372	86009110
2.171966356730769	1.4725825000000001	12.924025000000002	1e-6	4	RDW	EA	99415218	99757394
0.6973644617151608	0.195365	9.9225	1e-6	4	RDW	AA	99415218	99757394
1.5854850258793134	0.5817037739541465	12.367647058823527	0	4	RDW	meta	99415218	99757394
1.9226369511032657	0.555025	27.952369	0	4	RDW	EA	185103843	186667586
1.0756042493884812	0.44355600000000006	16.728099999999998	0	4	RDW	AA	185103843	186667586
1.5582652733133406	0.5353855975278456	23.91804455445545	0	4	RDW	meta	185103843	186667586
4.322350936021714	2.5921000000000003	21.206025000000004	1e-6	6	RDW	EA	86940334	87947225
1.0796210894967178	0.6561000000000001	7.612081	0	6	RDW	AA	86940334	87947225
2.8509772116675727	1.404225	23.510204081632647	0	6	RDW	meta	86940334	87947225
1.5431290858895705	0.758641	23.990403999999998	0	11	RDW	EA	7597312	8717944
1.07108357371027	0.512656	17.363888999999997	0	11	RDW	AA	7597312	8717944
1.432275036730267	0.6789759999999999	24.86786786786787	0	11	RDW	meta	7597312	8717944
1.945962277872652	0.685584	25.361295999999996	0	12	RDW	EA	104453119	105856472
1.133330594516813	0.534361	12.152196000000002	0	12	RDW	AA	104453119	105856472
1.6447585796779427	0.5186135802469136	26.022959183673468	0	12	RDW	meta	104453119	105856472
1.6560927709840811	0.8253745000000001	14.638276000000001	1e-6	19	RDW	EA	80840	759545
